name	2019-07	2019-08	2019-09	2019-10	2019-11	2019-12	2019-13	2019-14	2019-15	2019-16	2019-17	2019-18	2019-19	2019-20	2019-21	2019-22	2019-23	2019-24	2019-25	2019-26	2019-27	2019-28	2019-29	2019-30	2019-31	2019-32	2019-33	2019-34	2019-35	2019-36	2019-37	2019-38	2019-39	2019-40	2019-41	2019-42	2019-43	2019-44	2019-45	2019-46	2019-47	2019-48	2019-49	2019-50	2019-51	2019-52	2019-53	2019-54	2019-55	2019-56	2019-57	2019-58	2019-59	2019-60	2019-61	2019-62	2019-63	2019-64	2019-65	2019-66	2019-67	2019-68	2019-69	2019-70	2019-71	2019-72	2019-73	2019-74	2019-75	2019-76	2019-77	2019-78	2019-79	2019-80	2019-81	2019-82	2019-83	2019-84	2019-85	2019-86	2019-87	2019-88	2019-89	2019-90	2019-91	2019-92	2019-93
Andy	1	1	2	1	1	1	1	1	1	1	2	61	28	14	5	9	9	20	15	12	8	10	5	5	14	11	9	7	9	5	3	8	6	8	6	9	7	3	2	5	7	2	5	2	7	5	4	8	2	5	4	5	5	2	2	4	6	5	1	4	2	2	9	2	4	2	5	2	4	7	1	2	1	1	4	5	7	3	6	6	8	5	4	9	3	3	4
Belsnickel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	3	0	2	0	2	3	2	1	1	1	1	4	2	2	3	1	2	2	4	1	2	2	3	3	1	2	5	2	0	1	2	0	1	2	2	0	1	1	1	0	0	0	2	1	2	2	1	1	0	1	1	0	3	0	2	3	0	3	1	3	1	2	2	1
Blonde Dwight	0	0	0	0	0	0	0	0	0	0	0	4	12	1	0	3	7	5	10	6	1	8	5	1	4	1	8	1	2	2	1	1	3	1	5	0	4	1	2	1	2	1	4	0	1	4	1	1	1	3	1	2	4	2	2	1	4	0	3	1	1	0	1	2	1	1	4	0	5	1	1	0	2	0	1	0	1	0	2	0	2	1	3	0	1	2	4
Darryl	0	0	0	1	0	1	0	1	1	0	0	0	0	2	2	0	1	1	0	1	0	0	1	0	0	0	2	0	0	1	0	2	1	0	2	1	0	0	1	0	2	0	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	1	0	2	3	1	1	0	1	0	0	0	2	2	0	1	1	0	2	2	1	2	0	0	2	4	1	1	3	1	2
Date Mike	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1	5	10	6	7	12	12	20	9	2
Dwight Bobble	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	1	11	0	2	3	5	7	4	3	2	2	4	0	0	1	1	3	1	1	0	3	1	1	0	6	7	0	1	2	0	1	2	3	5	1	1	0	0	0	2	3	2	2	0
Dwight Elf	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	1	3	3	1	1	2	3	3	2	1	0	2	1	7	0	1	2	1	2	1	3	2	0	2	2	1	2	5	3	1	1	1	2	2	3	0	3	3	2	1	0	1	1	0	1	1	0	1	1	2	0	1	2	1	3	2	2	5	1	1	1	2	1	2	2	2
Hay King	0	0	1	0	2	4	1	0	2	0	1	4	0	3	1	1	3	7	4	5	4	6	4	3	5	3	10	7	7	3	3	6	1	5	4	2	2	3	5	1	2	1	2	2	4	4	3	1	5	5	3	10	6	11	9	9	8	2	5	11	5	6	2	3	4	4	4	2	3	2	1	1	2	5	3	3	7	6	7	2	6	5	4	4	11	5	3
Jim Chase	0	0	0	1	1	1	0	2	1	1	1	2	1	1	0	2	2	1	4	6	3	3	5	5	3	6	3	6	8	6	2	5	2	8	5	7	5	3	10	1	1	5	6	1	1	3	1	1	2	4	4	8	3	1	5	2	1	4	2	4	5	5	3	2	2	3	3	3	8	2	7	5	2	2	0	2	2	3	4	6	4	3	5	5	3	1	8
Jim Golden Face	1	0	0	0	0	0	0	0	0	0	2	21	7	4	3	2	2	3	2	4	4	1	1	2	4	2	5	4	3	1	3	1	2	2	1	1	0	0	1	2	1	0	0	0	3	1	1	3	1	2	0	1	1	2	0	2	0	2	1	0	1	1	1	2	0	0	2	1	2	2	0	0	1	0	1	1	3	2	2	0	3	2	2	1	0	0	1
