name	6/30/2019	7/1/2019	7/2/2019	7/3/2019	7/4/2019	7/5/2019	7/6/2019	7/7/2019	7/8/2019	7/9/2019	7/10/2019	7/11/2019	7/12/2019	7/13/2019	7/14/2019	7/15/2019	7/16/2019	7/17/2019	7/18/2019	7/19/2019	7/20/2019	7/21/2019	7/22/2019
Andy	0	1	0	0	3	1	3	5	146	69	52	41	33	33	24	26	17	32	36	41	29	31	7
Belsnickel	0	0	0	0	0	1	0	0	0	10	11	14	16	14	8	5	7	9	13	10	15	7	4
Blonde Dwight	0	0	0	0	0	0	0	0	32	35	16	16	13	13	13	10	11	4	13	7	11	3	0
Darryl	1	4	6	8	3	4	2	3	6	2	5	5	3	6	5	6	6	7	14	23	15	14	0
Date Mike	0	0	0	0	6	1	0	3	1	2	0	3	0	1	1	1	0	21	68	44	31	22	1
Dwight Bobble	0	0	0	0	0	0	0	0	0	3	1	2	15	26	11	7	17	13	9	4	4	3	1
Dwight Elf	0	0	0	0	1	2	0	0	2	11	12	14	12	14	15	5	7	16	11	16	13	9	0
Hay King	0	0	0	1	2	7	10	7	19	31	39	22	16	33	55	28	15	33	38	34	28	19	0
Jim Chase	0	1	14	4	2	7	6	7	9	29	36	40	18	23	19	23	29	19	29	24	33	35	7
Jim Golden Face	0	1	0	0	1	0	0	2	42	18	19	7	7	9	7	7	6	9	9	7	11	10	0
Jim Hole	0	0	0	0	12	6	3	1	6	20	18	10	18	8	16	21	14	13	10	18	12	9	1
Kevin	1	4	3	3	7	1	4	1	4	7	3	9	8	7	4	9	7	13	15	20	8	12	5
Michael Santa	0	0	0	0	0	2	0	0	1	12	13	18	21	11	9	4	13	10	17	16	18	7	0
Pam	1	2	2	8	5	2	3	4	2	6	6	8	8	9	3	9	6	9	16	18	14	14	0
Prison Mike	0	0	0	10	16	10	11	4	18	23	32	27	17	20	20	19	16	14	25	22	21	38	17
